"path","type","status","title","titleLength","description","descriptionLength","duplicateTitle","duplicateDescription","wordCount","bailDensity","hasReviewer","hasReviewDate","hasSources"
"/","home","200","Florida Bail Bonds & Inmate Search | Bond Florida","49","Find Florida county jail contacts, official inmate-search links, source-based bail information, and selected local agency guides in the Bond Florida directory.","159","false","false","400","2.3","true","true","true"
"/about","core","200","About the Bond Florida Directory","32","Learn how Bond Florida organizes county jail contacts, official inmate-search links, local guides, and general bail information for Florida visitors.","149","false","false","425","0.5","true","true","true"
"/contact","core","200","Contact the Bond Florida Support Team","37","Contact Bond Florida about directory corrections, general questions, or bail-service inquiries. Phone and online form options are available around the clock.","157","false","false","396","0","true","true","true"
"/county/brevard","county","200","Brevard County Bail Bonds & Jail Guide","38","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Brevard County.","147","false","false","117","0.9","true","true","true"
"/county/brevard/cocoa","city","200","Cocoa Florida Bail Bonds & Jail Guide","37","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Cocoa.","146","false","false","111","0","true","true","true"
"/county/broward","county","200","Broward County Bail Bonds & Jail Guide","38","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Broward County.","147","false","false","130","0.8","true","true","true"
"/county/broward/fort-lauderdale","city","200","Fort Lauderdale Florida Bail Bonds & Jail Guide","47","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Fort Lauderdale.","156","false","false","117","0","true","true","true"
"/county/broward/hollywood","city","200","Hollywood Florida Bail Bonds & Jail Guide","41","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Hollywood.","150","false","false","112","0","true","true","true"
"/county/broward/pompano-beach","city","200","Pompano Beach Florida Bail Bonds & Jail Guide","45","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Pompano Beach.","154","false","false","118","0","true","true","true"
"/county/columbia","county","200","Columbia County Bail Bonds & Jail Guide","39","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Columbia County.","148","false","false","120","0.8","true","true","true"
"/county/columbia/lake-city","city","200","Lake City Florida Bail Bonds & Jail Guide","41","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Lake City.","150","false","false","117","0","true","true","true"
"/county/duval","county","200","Duval County Bail Bonds & Jail Guide","36","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Duval County.","145","false","false","130","0.8","true","true","true"
"/county/duval/jacksonville-beach","city","200","Jacksonville Beach Florida Bail Bonds & Jail Guide","50","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Jacksonville Beach.","159","false","false","118","0","true","true","true"
"/county/hillsborough","county","200","Hillsborough County Bail Bonds & Jail Guide","43","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Hillsborough County.","152","false","false","128","0.8","true","true","true"
"/county/hillsborough/brandon","city","200","Brandon Florida Bail Bonds & Jail Guide","39","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Brandon.","148","false","false","111","0","true","true","true"
"/county/hillsborough/plant-city","city","200","Plant City Florida Bail Bonds & Jail Guide","42","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Plant City.","151","false","false","114","0","true","true","true"
"/county/hillsborough/tampa","city","200","Tampa Florida Bail Bonds & Jail Guide","37","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Tampa.","146","false","false","110","0","true","true","true"
"/county/indian-river","county","200","Indian River County Bail Bonds & Jail Guide","43","Find the official inmate-search resource, primary detention contact, selected local agencies, and source-based bail information for Indian River County.","152","false","false","121","0.8","true","true","true"
"/county/indian-river/vero-beach","city","200","Vero Beach Florida Bail Bonds & Jail Guide","42","Find official inmate-search links, local arresting-agency contact details, county jail information, and verified Florida bail resources for Vero Beach.","151","false","false","117","0","true","true","true"
